N,iTa,sTa,dTa,iTb,sTb,dTb
1000,26,2,0,29,3,23
2000,48,6,0,69,11,82
3000,64,9,0,128,15,86
4000,111,17,0,160,22,132
5000,119,17,0,200,28,219
6000,177,19,0,382,31,265
7000,204,24,0,339,43,279
8000,265,28,0,348,58,382
9000,223,30,0,317,49,305
