t,p,et,ep
0.3,7.4,0.1,0.1
0.56,7.3,0.1,0.1
1.08,7,0.1,0.1
1.63,6.6,0.1,0.1
1.93,6.2,0.1,0.1
2.68,5.7,0.1,0.1
3.08,5.2,0.1,0.1
3.68,4.7,0.1,0.1
4.13,4.2,0.1,0.1
4.68,3.8,0.1,0.1
5.08,3.4,0.1,0.1
5.63,3.2,0.1,0.1
5.95,2.9,0.1,0.1
6.65,2.8,0.1,0.1
7.08,2.6,0.1,0.1
7.68,2.5,0.1,0.1
8.15,2.4,0.1,0.1
8.48,2.3,0.1,0.1
9.63,2.2,0.1,0.1
10.65,2.1,0.1,0.1
13.12,2,0.1,0.1
