n,t
809,410
810,413
811,413
812,411
813,411
814,413
815,413
816,412
817,420
818,413
819,417
820,417
821,413
822,417
823,417
824,417
825,417
826,417
827,418
828,417
829,418
830,423
831,418
832,421
833,420
834,424
835,426
836,423
837,422
838,427
839,421
840,422
841,428
842,427
843,425
844,433
845,429
846,426
847,430
848,426
849,425
850,428
851,428
852,429
853,432
854,432
855,431
856,433
857,434
858,434
859,436
860,434
861,443
862,434
863,435
864,437
865,435
866,437
867,435
868,438
869,436
870,442
871,440
872,442
873,445
874,446
875,446
876,442
877,443
878,452
879,443
880,446
881,459
882,452
883,444
884,450
885,447
886,448
887,448
888,452
889,454
890,453
891,449
892,454
893,453
894,449
895,455
896,451
897,452
898,457
899,454
900,459
901,455
902,460
903,459
904,456
905,460
906,457
907,460
908,461
909,461
910,461
911,460
912,459
913,456
914,464
915,469
916,462
917,460
918,463
919,471
920,465
921,460
922,466
923,468
924,469
925,472
926,467
927,468
928,469
929,471
930,468
931,467
932,469
933,478
934,470
935,468
936,473
937,471
938,489
939,488
940,475
941,471
942,475
943,480
944,480
945,477
946,480
947,478
948,478
949,481
950,480
951,480
952,482
953,482
954,486
955,487
956,485
957,483
958,488
959,487
960,486
961,485
962,486
963,485
964,490
965,487
966,493
967,487
968,492
969,489
970,494
971,489
972,489
973,491
974,493
975,492
976,490
977,492
978,496
979,492
980,497
981,492
982,497
983,498
984,500
985,494
986,495
987,500
988,499
989,505
990,502
991,499
992,501
993,501
994,505
995,505
996,507
997,511
998,504
999,505
1000,505
1001,507
1002,505
1003,510
1004,512
1005,509
1006,505
1007,521
1008,509
1009,509
1010,509
1011,511
1012,514
1013,514
1014,515
1015,517
1016,516
1017,529
1018,539
1019,544
1020,595
1021,529
1022,523
1023,526
1024,527
1025,521
1026,528
1027,531
1028,524
1029,533
1030,527
1031,525
1032,536
1033,532
1034,529
1035,532
1036,532
1037,531
1038,531
1039,533
1040,530
1041,536
1042,533
1043,531
1044,537
1045,539
1046,538
1047,537
1048,535
1049,537
1050,540
1051,537
1052,540
1053,548
1054,544
1055,540
1056,538
1057,551
1058,545
1059,541
1060,541
1061,542
1062,546
1063,549
1064,550
1065,546
1066,547
1067,554
1068,548
1069,548
1070,546
1071,552
1072,546
1073,549
1074,547
1075,555
1076,553
1077,546
1078,555
1079,552
1080,553
1081,557
1082,560
1083,557
1084,548
1085,554
1086,553
1087,558
1088,564
1089,558
1090,562
1091,556
1092,560
1093,564
1094,560
1095,564
1096,558
1097,565
1098,561
1099,565
1100,562
1101,567
1102,562
1103,565
1104,563
1105,573
1106,566
1107,563
1108,565
1109,568
1110,572
1111,567
1112,566
1113,567
1114,568
1115,569
1116,576
1117,592
1118,578
1119,573
1120,574
1121,570
1122,574
1123,581
1124,576
1125,572
1126,577
1127,577
1128,579
1129,578
1130,579
1131,586
1132,577
1133,583
1134,575
1135,578
1136,585
1137,637
1138,611
1139,609
1140,614
1141,607
1142,609
1143,621
1144,615
1145,606
1146,614
1147,614
1148,613
1149,613
1150,615
1151,616
1152,615
1153,616
1154,616
1155,618
1156,615
1157,618
1158,614
1159,614
1160,619
1161,617
1162,623
1163,618
1164,622
1165,627
1166,624
1167,619
1168,623
1169,624
1170,628
1171,631
1172,632
1173,621
1174,621
1175,625
1176,635
1177,629
1178,630
1179,633
1180,632
1181,625
1182,629
1183,626
1184,629
1185,630
1186,638
1187,635
1188,632
1189,635
1190,635
1191,634
1192,637
1193,634
1194,640
1195,637
1196,641
1197,635
1198,649
1199,656
1200,661
1201,664
1202,659
1203,664
1204,670
1205,663
1206,665
1207,663
1208,662
1209,660
1210,660
1211,665
1212,665
1213,675
1214,677
1215,663
1216,672
1217,664
1218,675
1219,666
1220,684
1221,670
1222,669
1223,666
1224,671
1225,679
1226,670
1227,670
1228,677
1229,678
1230,673
1231,675
1232,680
1233,677
1234,681
1235,677
1236,682
1237,678
1238,678
1239,681
1240,686
1241,678
1242,679
1243,681
1244,678
1245,679
1246,687
1247,682
1248,682
1249,682
1250,681
1251,690
1252,683
1253,684
1254,693
1255,689
1256,687
1257,694
1258,685
1259,693
1260,692
1261,691
1262,687
1263,687
1264,695
1265,693
1266,694
1267,699
1268,695
1269,687
1270,699
1271,693
1272,698
1273,707
1274,702
1275,696
1276,698
1277,698
1278,696
1279,699
1280,716
1281,700
1282,699
1283,696
1284,700
1285,711
1286,701
1287,705
1288,703
1289,704
1290,708
1291,706
1292,705
1293,708
1294,710
1295,708
1296,711
1297,712
1298,720
1299,704
1300,714
1301,722
1302,721
1303,714
1304,714
1305,715
1306,709
1307,715
1308,713
1309,718
1310,713
1311,709
1312,718
1313,713
1314,718
1315,720
1316,717
1317,714
1318,717
1319,723
1320,720
1321,722
1322,726
1323,727
1324,722
1325,719
1326,724
1327,725
1328,726
1329,727
1330,729
1331,719
1332,725
1333,725
1334,729
1335,732
1336,730
1337,729
1338,729
1339,728
1340,735
1341,723
1342,725
1343,728
1344,728
1345,732
1346,738
1347,739
1348,731
1349,731
1350,734
1351,738
1352,735
1353,747
1354,740
1355,736
1356,742
1357,737
1358,739
1359,738
1360,749
1361,738
1362,738
1363,739
1364,743
1365,761
1366,744
1367,822
1368,771
1369,762
1370,786
1371,758
1372,721
1373,749
1374,736
1375,750
1376,738
1377,742
1378,741
1379,741
1380,749
1381,751
1382,759
1383,734
1384,745
1385,730
1386,731
1387,727
1388,711
1389,718
1390,724
1391,721
1392,725
1393,725
1394,729
1395,725
1396,725
1397,722
1398,734
1399,724
1400,725
1401,732
1402,733
1403,748
1404,746
1405,768
1406,727
1407,729
1408,763
1409,807
1410,771
1411,763
1412,762
1413,741
1414,751
1415,753
1416,759
1417,763
1418,766
1419,759
1420,759
1421,753
1422,750
1423,749
1424,751
1425,752
1426,753
1427,781
1428,758
1429,756
1430,760
1431,763
1432,763
1433,773
1434,757
1435,756
1436,756
1437,753
1438,757
1439,758
1440,755
1441,759
1442,763
1443,767
1444,761
1445,763
1446,762
1447,766
1448,771
1449,769
1450,768
1451,763
1452,758
1453,781
1454,765
1455,768
1456,768
1457,772
1458,779
1459,775
1460,774
1461,773
1462,777
1463,770
1464,780
1465,770
1466,780
1467,773
1468,774
1469,779
1470,778
1471,778
1472,775
1473,779
1474,770
1475,778
1476,787
1477,781
1478,787
1479,786
1480,796
1481,790
1482,791
1483,780
1484,789
1485,782
1486,787
1487,780
1488,792
1489,793
1490,787
1491,780
1492,787
1493,788
1494,787
1495,788
1496,793
1497,793
1498,797
1499,793
1500,792
1501,788
1502,798
1503,794
1504,796
1505,791
1506,795
1507,788
1508,796
1509,802
1510,794
1511,806
1512,804
1513,812
1514,806
1515,808
1516,810
1517,810
1518,804
1519,804
1520,804
1521,801
1522,814
1523,820
1524,826
1525,816
1526,821
1527,804
1528,804
1529,812
1530,808
1531,807
1532,810
1533,813
1534,821
1535,816
1536,819
1537,848
1538,841
1539,853
1540,841
1541,795
1542,788
1543,788
1544,788
1545,787
1546,784
1547,796
1548,791
1549,794
1550,792
1551,798
1552,796
1553,800
1554,802
1555,797
1556,803
1557,817
1558,795
1559,793
1560,800
1561,803
1562,794
1563,801
1564,806
1565,802
1566,802
1567,806
1568,805
1569,814
1570,808
1571,803
1572,800
1573,806
1574,800
1575,804
1576,811
1577,801
1578,803
1579,806
1580,801
1581,808
1582,807
1583,810
1584,810
1585,814
1586,821
1587,814
1588,830
1589,814
1590,815
1591,818
1592,815
1593,817
1594,817
1595,821
1596,811
1597,839
1598,816
1599,829
1600,821
1601,829
1602,828
1603,827
1604,814
1605,816
1606,815
1607,813
1608,820
1609,827
1610,820
1611,820
1612,824
1613,826
1614,836
1615,827
1616,823
1617,834
1618,829
1619,830
1620,826
1621,827
1622,831
1623,826
1624,829
1625,832
1626,827
1627,833
1628,837
1629,832
1630,839
1631,849
1632,830
1633,840
1634,839
1635,836
1636,832
1637,833
1638,833
1639,835
1640,842
1641,835
1642,838
1643,840
1644,835
1645,840
1646,845
1647,842
1648,847
1649,848
1650,847
1651,843
1652,846
1653,845
1654,846
1655,848
1656,847
1657,845
1658,854
1659,850
1660,856
1661,843
1662,861
1663,850
1664,849
1665,846
1666,849
1667,854
1668,854
1669,853
1670,852
1671,850
1672,860
1673,859
1674,853
1675,862
1676,857
1677,855
1678,861
1679,853
1680,857
1681,858
1682,848
1683,852
1684,861
1685,896
1686,866
1687,867
1688,864
1689,869
1690,864
1691,867
1692,865
1693,867
1694,864
1695,863
1696,865
1697,868
1698,869
1699,867
1700,885
1701,877
1702,876
1703,876
1704,874
1705,899
1706,897
1707,895
1708,884
1709,872
1710,880
1711,872
1712,875
1713,879
1714,880
1715,874
1716,880
1717,891
1718,878
1719,884
1720,882
1721,886
1722,882
1723,888
1724,887
1725,888
1726,888
1727,886
1728,894
1729,892
1730,887
1731,897
1732,900
1733,887
1734,887
1735,882
1736,894
1737,882
1738,882
1739,886
1740,883
1741,887
1742,885
1743,892
1744,895
1745,893
1746,896
1747,892
1748,892
1749,898
1750,900
1751,892
1752,900
1753,900
1754,895
1755,893
1756,903
1757,918
1758,916
1759,891
1760,906
1761,895
1762,912
1763,905
1764,895
1765,903
1766,901
1767,908
1768,911
1769,909
1770,903
1771,910
1772,914
1773,904
1774,908
1775,912
1776,909
1777,913
1778,903
1779,920
1780,940
1781,912
1782,905
1783,918
1784,917
1785,914
1786,913
1787,923
1788,921
1789,914
1790,915
1791,912
1792,925
1793,927
1794,922
1795,919
1796,917
1797,923
1798,924
1799,926
1800,918
1801,931
1802,929
1803,937
1804,929
1805,931
1806,920
1807,924
1808,923
1809,929
1810,939
1811,934
1812,927
1813,929
1814,931
1815,926
1816,933
1817,934
1818,932
1819,952
1820,927
1821,932
1822,933
1823,934
1824,941
1825,956
1826,943
1827,938
1828,935
1829,941
1830,940
1831,933
1832,946
1833,950
1834,944
1835,944
1836,951
1837,947
1838,947
1839,947
1840,949
1841,948
1842,939
1843,941
1844,945
1845,953
1846,954
1847,961
1848,959
1849,947
1850,952
1851,959
1852,955
1853,955
1854,944
1855,949
1856,951
1857
