N,iTa,sTa,dTa,iTb,sTb,dTb
1000,75,9,0,101,12,80
2000,143,20,0,276,29,199
3000,249,33,0,402,87,418
4000,357,46,0,584,100,471
5000,430,61,0,435,56,336
6000,296,45,0,458,65,389
7000,345,47,0,615,92,510
8000,406,56,0,714,96,644
9000,540,65,0,745,106,650
10000,528,72,0,832,124,806
