N,iT,sT,dT
1000,26,1,14
6000,399,11,83
11000,844,19,152
16000,1517,29,258
21000,1574,31,266
26000,1056,32,266
31000,1142,49,378
36000,1905,44,348
41000,2342,45,393
46000,2533,54,422
51000,2156,56,506
56000,2237,66,592
61000,2418,76,621
66000,4092,80,762
71000,3857,79,848
76000,4462,91,773
81000,4541,117,824
86000,4003,99,871
91000,4252,118,982
96000,4148,120,983
