n,iTa,sTa,dTa,iTb,sTb,dTb
1000,532,388,13,43,15,44
2000,1916,1394,28,90,30,83
3000,2907,1898,26,86,30,79
4000,4850,3418,35,131,42,120
5000,7686,5753,42,157,85,149
6000,9774,7755,50,199,69,177
7000,13766,10631,72,309,85,249
8000,19272,14050,68,312,98,332
9000,22587,17510,76,377,111,333
10000,28135,23337,101,414,129,439
