n,t
1000,0
4000,1
7000,5
10000,12
13000,18
16000,25
19000,34
22000,39
25000,47
28000,57
31000,66
34000,77
37000,88
40000,100
43000,114
46000,147
49000,169
52000,178
55000,200
58000,230
61000,257
64000,280
67000,272
70000,294
73000,337
76000,339
79000,370
82000,398
85000,419
88000,464
91000,478
94000,511
97000,545
100000,578
