n,t
762,1737
763,1724
764,1739
765,1718
766,1730
767,1742
768,1741
769,1750
770,1758
771,1752
772,1777
773,1762
774,1763
775,1784
776,1782
777,1787
778,1791
779,1803
780,1796
781,1802
782,1811
783,1808
784,1825
785,1820
786,1821
787,1832
788,1837
789,1830
790,1854
791,1875
792,1864
793,1856
794,1865
795,1892
796,1879
797,1882
798,1886
799,1904
800,1875
801,1869
802,1891
803,1952
804,1988
805,1967
806,1887
807,1883
808,1884
809,1918
810,1899
811,1903
812,1909
813,1921
814,1920
815,1930
816,1950
817,1929
818,1941
819,1937
820,1955
821,1962
822,1957
823,1958
824,1966
825,1971
826,1972
827,1979
828,1998
829,1993
830,2003
831,2001
832,2003
833,2002
834,1996
835,2004
836,2022
837,2015
838,2026
839,2032
840,2037
841,2031
842,2034
843,2042
844,2055
845,2055
846,2071
847,2067
848,2078
849,2075
850,2092
851,2084
852,2087
853,2088
854,2107
855,2106
856,2108
857,2112
858,2115
859,2118
860,2127
861,2140
862,2138
863,2154
864,2152
865,2156
866,2164
867,2175
868,2168
869,2184
870,2180
871,2190
872,2201
873,2209
874,2208
875,2211
876,2218
877,2221
878,2234
879,2238
880,2233
881,2241
882,2237
883,2247
884,2264
885,2253
886,2274
887,2285
888,2363
889,2357
890,2290
891,2288
892,2297
893,2328
894,2402
895,2395
896,2401
897,2374
898,2387
899,2408
900,2391
901,2388
902,2360
903,2364
904,2381
905,2392
906,2375
907,2379
908,2402
909,2492
910,2480
911,2479
912,2491
913,2480
914,2517
915,2511
916,2489
917,2475
918,2495
919,2484
920,2492
921,2525
922,2535
923,2534
924,2519
925,2534
926,2545
927,2581
928,2570
929,2614
930,2561
931,2614
932,2587
933,2601
934,2604
935,2615
936,2608
937,2637
938,2608
939,2609
940,2633
941,2638
942,2619
943,2642
944,2673
945,2657
946,2657
947,2663
948,2677
949,2690
950,2696
951,2683
952,2719
953,2727
954,2698
955,2761
