n,t
809,394
810,390
811,400
812,392
813,391
814,397
815,395
816,394
817,394
818,394
819,397
820,395
821,403
822,397
823,397
824,401
825,401
826,400
827,400
828,421
829,418
830,401
831,401
832,408
833,401
834,404
835,405
836,406
837,405
838,404
839,410
840,406
841,407
842,413
843,405
844,409
845,410
846,408
847,409
848,411
849,410
850,411
851,414
852,410
853,409
854,412
855,409
856,413
857,412
858,423
859,414
860,414
861,412
862,412
863,412
864,414
865,416
866,415
867,417
868,416
869,416
870,419
871,417
872,424
873,451
874,430
875,420
876,420
877,421
878,425
879,424
880,447
881,434
882,425
883,423
884,435
885,424
886,426
887,425
888,427
889,428
890,427
891,427
892,427
893,429
894,428
895,429
896,434
897,429
898,434
899,430
900,431
901,432
902,431
903,433
904,432
905,432
906,434
907,435
908,433
909,435
910,436
911,435
912,438
913,438
914,438
915,437
916,439
917,445
918,444
919,444
920,443
921,441
922,439
923,442
924,442
925,444
926,443
927,459
928,456
929,456
930,470
931,447
932,496
933,455
934,454
935,454
936,459
937,458
938,453
939,458
940,455
941,461
942,462
943,462
944,457
945,457
946,459
947,461
948,457
949,472
950,460
951,459
952,466
953,463
954,462
955,462
956,462
957,461
958,462
959,465
960,468
961,465
962,465
963,466
964,469
965,470
966,466
967,493
968,468
969,473
970,469
971,479
972,471
973,472
974,470
975,477
976,471
977,472
978,473
979,473
980,473
981,474
982,479
983,479
984,476
985,476
986,502
987,477
988,478
989,480
990,481
991,479
992,481
993,480
994,479
995,484
996,484
997,483
998,484
999,490
1000,484
1001,488
1002,485
1003,487
1004,490
1005,490
1006,508
1007,492
1008,494
1009,493
1010,490
1011,493
1012,490
1013,492
1014,496
1015,501
1016,504
1017,504
1018,502
1019,504
1020,503
1021,505
1022,504
1023,505
1024,505
1025,507
1026,508
1027,505
1028,507
1029,508
1030,509
1031,511
1032,518
1033,521
1034,509
1035,511
1036,511
1037,511
1038,512
1039,516
1040,511
1041,514
1042,514
1043,512
1044,516
1045,514
1046,516
1047,515
1048,515
1049,515
1050,516
1051,516
1052,516
1053,523
1054,518
1055,521
1056,520
1057,519
1058,521
1059,542
1060,521
1061,522
1062,522
1063,521
1064,532
1065,525
1066,524
1067,525
1068,527
1069,527
1070,527
1071,528
1072,528
1073,527
1074,526
1075,527
1076,531
1077,528
1078,531
1079,531
1080,532
1081,533
1082,531
1083,531
1084,533
1085,533
1086,535
1087,559
1088,535
1089,538
1090,534
1091,539
1092,536
1093,538
1094,538
1095,539
1096,540
1097,539
1098,548
1099,543
1100,541
1101,541
1102,542
1103,540
1104,545
1105,541
1106,543
1107,545
1108,545
1109,543
1110,544
1111,544
1112,547
1113,546
1114,547
1115,548
1116,547
1117,550
1118,548
1119,557
1120,549
1121,553
1122,552
1123,551
1124,552
1125,553
1126,564
1127,552
1128,557
1129,555
1130,555
1131,555
1132,555
1133,555
1134,558
1135,556
1136,559
1137,586
1138,581
1139,583
1140,583
1141,587
1142,586
1143,583
1144,588
1145,584
1146,592
1147,588
1148,586
1149,592
1150,598
1151,593
1152,590
1153,593
1154,593
1155,592
1156,591
1157,592
1158,595
1159,594
1160,595
1161,596
1162,594
1163,594
1164,593
1165,594
1166,595
1167,595
1168,596
1169,599
1170,602
1171,598
1172,601
1173,600
1174,603
1175,602
1176,603
1177,604
