t (s),V (mV)
0,21.9163
0.966,21.9011
1.9,21.8689
2.878,21.8428
3.878,21.8161
4.878,21.789
5.88,21.7601
6.878,21.7314
7.879,21.7033
8.878,21.6735
9.878,21.6468
10.879,21.6173
11.879,21.5921
12.879,21.5647
13.879,21.5327
14.879,21.5098
15.878,21.4824
16.878,21.4554
17.879,21.427
18.878,21.4003
19.879,21.3743
20.879,21.3477
21.879,21.3232
22.879,21.2979
23.878,21.273
24.879,21.2463
25.879,21.2201
26.879,21.1928
27.879,21.1672
28.878,21.1423
29.879,21.1154
30.878,21.0905
31.878,21.065
32.879,21.0403
33.879,21.0156
34.878,20.9921
35.878,20.9662
36.878,20.9423
37.879,20.9161
38.879,20.8923
39.878,20.8675
40.878,20.8445
41.879,20.8184
42.879,20.7951
43.879,20.7719
44.878,20.7503
45.879,20.7252
46.878,20.7022
47.878,20.6796
48.879,20.6539
49.879,20.6322
50.879,20.6076
51.879,20.5819
52.879,20.5607
53.878,20.5377
54.879,20.5146
55.879,20.4919
56.879,20.4685
57.879,20.4452
58.879,20.4208
59.878,20.3989
60.879,20.3746
61.879,20.3514
62.879,20.3293
63.879,20.3061
64.879,20.2837
65.879,20.2615
66.879,20.2376
67.879,20.216
68.879,20.1943
69.879,20.1728
70.878,20.1503
71.878,20.1275
72.879,20.1061
73.879,20.0832
74.878,20.0608
75.879,20.0394
76.879,20.0176
77.879,19.9951
78.879,19.973
79.879,19.9521
80.878,19.9325
81.879,19.9101
82.879,19.8865
83.879,19.8632
84.879,19.8409
85.878,19.8192
86.878,19.797
87.879,19.7756
88.879,19.7504
89.879,19.7298
90.878,19.7057
91.878,19.6852
92.878,19.6626
93.878,19.6406
94.878,19.6184
95.878,19.5992
96.879,19.5788
97.879,19.5566
98.879,19.5358
99.879,19.5145
100.879,19.4939
101.879,19.4704
102.879,19.451
103.879,19.4279
104.879,19.4066
105.879,19.3864
106.879,19.3658
107.878,19.3449
108.879,19.3253
109.879,19.305
110.879,19.2832
111.879,19.2642
112.879,19.2444
113.879,19.2237
114.878,19.203
115.879,19.1799
116.879,19.1612
117.879,19.1418
118.878,19.1221
119.879,19.1018
120.879,19.0819
121.878,19.0634
122.879,19.0443
123.879,19.0264
124.879,19.0049
125.879,18.9881
126.879,18.9683
127.879,18.9501
128.879,18.9316
129.879,18.912
130.879,18.894
131.879,18.8744
132.879,18.8552
133.879,18.8361
134.878,18.8155
135.879,18.7954
136.879,18.7781
137.878,18.758
138.879,18.7386
139.879,18.7183
140.882,18.6947
141.879,18.6816
142.879,18.6607
143.879,18.6429
144.878,18.6245
145.879,18.6052
146.879,18.5849
147.879,18.5668
148.879,18.5484
149.879,18.5296
150.878,18.5095
151.878,18.4902
152.879,18.4715
153.878,18.4532
154.879,18.4344
155.879,18.4154
156.879,18.3946
157.878,18.377
158.878,18.3586
159.879,18.3391
160.879,18.3202
161.879,18.3028
162.879,18.2854
163.878,18.2647
164.879,18.2455
165.879,18.2241
166.878,18.2088
167.879,18.1888
168.879,18.1711
169.879,18.1539
170.878,18.1357
171.879,18.1169
172.879,18.0973
173.879,18.0783
174.879,18.0611
175.878,18.0428
176.879,18.0245
177.878,18.0066
178.879,17.9887
179.878,17.9702
180.879,17.9523
181.879,17.9336
182.879,17.916
183.879,17.8983
184.879,17.8797
185.879,17.862
186.878,17.8445
187.878,17.8283
188.881,17.8099
189.879,17.7936
190.879,17.7753
191.879,17.7572
192.879,17.7408
193.879,17.722
194.879,17.7035
195.878,17.6857
196.878,17.669
197.879,17.6511
198.879,17.6337
199.879,17.615
200.879,17.5968
201.879,17.5802
202.879,17.5627
203.879,17.5463
204.879,17.5284
205.879,17.5109
206.879,17.4913
207.878,17.4753
208.879,17.4576
209.879,17.4408
210.879,17.4232
211.879,17.4062
212.879,17.3886
213.878,17.3722
214.878,17.3541
215.878,17.3354
216.879,17.315
217.879,17.2973
218.879,17.2827
219.879,17.2659
220.878,17.2478
221.879,17.2317
222.879,17.215
223.879,17.1991
224.879,17.1818
225.879,17.1634
226.879,17.143
227.879,17.1312
228.879,17.1116
229.879,17.0966
230.879,17.0742
231.879,17.0578
232.879,17.0431
233.878,17.0258
234.878,17.1837
235.878,17.0786
236.879,17.0025
237.879,16.964
238.878,16.9352
239.879,16.9182
240.879,16.9046
241.878,16.8874
242.879,16.8719
243.879,16.8556
244.879,16.839
245.879,16.8221
246.879,16.806
247.879,16.7879
248.878,16.7697
249.881,16.7564
250.879,16.7331
251.878,16.7168
252.878,16.7001
253.879,16.683
254.879,16.6665
255.879,16.6484
256.879,16.633
257.879,16.6166
258.879,16.6001
259.879,16.5833
260.879,16.5669
261.879,16.55
262.879,16.534
263.878,16.5169
264.879,16.5011
265.879,16.4847
266.878,16.4695
267.879,16.453
268.879,16.4366
269.879,16.4226
270.879,16.4084
271.879,16.3934
272.878,16.3788
273.878,16.3629
274.879,16.3473
275.879,16.3314
276.879,16.315
277.879,16.2999
278.878,16.2843
279.879,16.2676
280.879,16.2519
281.879,16.235
282.878,16.2187
283.879,16.2027
284.879,16.1872
285.879,16.1701
286.879,16.1542
287.879,16.1361
288.878,16.1215
289.879,16.1061
290.879,16.0908
291.879,16.0726
292.879,16.0549
293.879,16.0384
294.879,16.0219
295.878,16.0049
296.879,15.99
297.879,15.9731
298.878,15.9587
299.879,15.9428
300.879,15.9276
301.879,15.9121
302.879,15.8966
303.879,15.8809
304.879,15.8652
305.878,15.8498
306.878,15.8351
307.878,15.8208
308.879,15.8051
309.878,15.7905
310.879,15.774
311.879,15.7591
312.879,15.7475
313.878,15.7311
314.879,15.7143
315.879,15.6964
316.879,15.6893
317.878,15.6758
318.878,15.661
319.879,15.6454
320.879,15.6304
321.879,15.616
322.879,15.6013
323.879,15.5851
324.878,15.5689
325.879,15.554
326.879,15.539
327.879,15.5248
328.879,15.5095
329.879,15.4934
330.879,15.4777
331.879,15.4629
332.878,15.4461
333.878,15.43
334.878,15.4144
335.879,15.402
336.878,15.3863
337.878,15.3703
338.878,15.3549
339.879,15.3401
340.879,15.3241
341.878,15.3087
342.878,15.2941
343.879,15.2808
344.879,15.264
345.879,15.2481
346.879,15.2331
347.879,15.218
348.878,15.2028
349.879,15.1887
350.879,15.1741
351.879,15.1592
352.879,15.1455
353.879,15.1284
354.879,15.1182
355.879,15.1036
356.879,15.0897
357.879,15.0753
358.879,15.0603
359.878,15.0466
360.879,15.0331
361.879,15.0204
362.879,15.0055
363.879,14.9899
364.879,14.9772
365.879,14.9617
366.878,14.9485
367.879,14.9356
368.879,14.921
369.879,14.9078
370.879,14.8935
371.879,14.8791
372.879,14.8657
373.878,14.8506
374.878,14.8364
375.879,14.8226
376.878,14.8073
377.879,14.7926
378.879,14.7785
379.879,14.7636
380.879,14.7494
381.879,14.7344
382.879,14.7197
383.878,14.7051
384.879,14.6888
385.879,14.6746
386.879,14.6611
387.879,14.6448
388.879,14.6312
389.879,14.614
390.879,14.6001
391.879,14.5864
392.879,14.5715
393.879,14.5567
394.879,14.544
395.879,14.5314
396.879,14.5163
397.879,14.5008
398.879,14.4855
399.879,14.4717
400.879,14.4582
401.879,14.4442
402.878,14.4309
403.879,14.4164
404.879,14.4031
405.879,14.3878
406.879,14.3745
407.879,14.3612
408.879,14.346
409.879,14.3323
410.879,14.3191
411.879,14.3051
412.879,14.2909
413.879,14.2773
414.879,14.2648
415.879,14.2519
416.879,14.2371
417.879,14.2252
418.879,14.2108
419.879,14.1962
420.879,14.183
421.878,14.1709
422.879,14.1573
423.879,14.1457
424.879,14.1299
425.878,14.1171
426.879,14.1032
427.879,14.089
428.878,14.0731
429.879,14.058
430.879,14.0438
431.879,14.0323
432.878,14.0189
433.879,14.0053
434.879,13.9927
435.879,13.9795
436.879,13.9652
437.878,13.9536
438.878,13.9405
439.879,13.9268
440.879,13.9137
441.879,13.8997
442.878,13.8868
443.878,13.8749
444.879,13.8627
445.879,13.8497
446.879,13.8366
447.879,13.8241
448.879,13.8122
449.879,13.7995
450.879,13.786
451.879,13.7753
452.879,13.7613
453.879,13.7494
454.879,13.7368
455.878,13.7238
456.879,13.7115
457.879,13.6976
458.879,13.6848
459.879,13.6732
460.879,13.6594
461.879,13.6464
462.878,13.634
463.879,13.6211
464.879,13.6079
465.878,13.5949
466.879,13.5816
467.879,13.5697
468.879,13.5563
469.879,13.543
470.878,13.5301
471.878,13.5171
472.879,13.5038
473.879,13.4905
474.879,13.4784
475.879,13.4659
476.879,13.454
477.878,13.4404
478.879,13.4262
479.879,13.4109
480.879,13.3979
481.879,13.384
482.879,13.3713
483.879,13.3578
484.879,13.3447
485.879,13.3315
486.879,13.3156
487.879,13.3022
488.878,13.2907
489.879,13.2776
490.879,13.2649
491.879,13.2522
492.879,13.2394
493.879,13.2272
494.879,13.2137
495.878,13.2024
496.879,13.1894
497.879,13.1768
498.879,13.1642
499.879,13.15
500.879,13.1378
501.879,13.125
502.879,13.1135
503.879,13.1011
504.879,13.0893
505.879,13.0777
506.879,13.0663
507.879,13.0537
508.879,13.0454
509.879,13.0351
510.879,13.0238
511.879,13.0074
512.879,12.9844
