t (s),V (mV)
0,24.3557
0.969,24.2835
1.899,24.2295
2.865,24.1565
3.831,24.0943
4.825,24.0283
5.825,23.9614
6.826,23.895
7.826,23.8295
8.826,23.7649
9.826,23.7001
10.825,23.6358
11.825,23.5718
12.826,23.5055
13.826,23.4405
14.825,23.3779
15.825,23.315
16.826,23.2493
17.825,23.187
18.826,23.1228
19.826,23.0583
20.825,22.9972
21.825,22.9345
22.825,22.8723
23.825,22.808
24.825,22.7466
25.826,22.6824
26.826,22.6205
27.826,22.5584
28.826,22.4964
29.825,22.4351
30.825,22.3736
31.826,22.3129
32.826,22.2524
33.825,22.1911
34.825,22.1308
35.825,22.0707
36.826,22.0107
37.825,21.9502
38.825,21.8912
39.825,21.8325
40.825,21.7717
41.825,21.712
42.825,21.6539
43.825,21.5945
44.825,21.5362
45.825,21.478
46.825,21.4188
47.825,21.3604
48.825,21.3016
49.825,21.2438
50.825,21.186
51.826,21.1278
52.826,21.0709
53.826,21.0135
54.825,20.9569
55.826,20.8999
56.826,20.8437
57.826,20.7876
58.825,20.7303
59.826,20.6749
60.826,20.6185
61.826,20.5631
62.826,20.5087
63.825,20.4528
64.825,20.3982
65.825,20.3429
66.825,20.288
67.825,20.233
68.825,20.1791
69.825,20.1245
70.825,20.0709
71.826,20.0156
72.826,19.963
73.825,19.9104
74.826,19.8549
75.825,19.8056
76.825,19.7527
77.825,19.6994
78.825,19.647
79.825,19.5944
80.825,19.5424
81.826,19.4896
82.825,19.4385
83.825,19.3867
84.825,19.3348
85.825,19.2817
86.825,19.2297
87.825,19.177
88.825,19.1257
89.825,19.0739
90.825,19.0216
91.825,18.9693
92.826,18.9175
93.825,18.8653
94.825,18.8141
95.825,18.7634
96.825,18.7125
97.825,18.6608
98.825,18.6092
99.825,18.558
100.825,18.5085
101.826,18.4581
102.825,18.4063
103.825,18.3559
104.825,18.3054
105.825,18.2563
106.825,18.2063
107.825,18.1574
108.825,18.1081
109.825,18.0602
110.825,18.0105
111.825,17.9629
112.826,17.9148
113.826,17.8657
114.826,17.8184
115.825,17.769
116.825,17.7213
117.826,17.6744
118.825,17.6258
119.826,17.5794
120.826,17.5316
121.826,17.4853
122.825,17.4368
123.826,17.3913
124.825,17.3436
125.825,17.2962
126.826,17.2522
127.826,17.2044
128.826,17.1584
129.826,17.111
130.826,17.0647
131.826,17.018
132.826,16.9734
133.826,16.9268
134.826,16.8806
135.825,16.8355
136.825,16.7892
137.825,16.7442
138.825,16.6996
139.825,16.6536
140.825,16.6103
141.825,16.5651
142.825,16.521
143.826,16.476
144.826,16.4326
145.825,16.3876
146.826,16.3437
147.825,16.3007
148.825,16.2565
149.825,16.2139
150.825,16.1694
151.826,16.1256
152.826,16.0846
153.826,16.0413
154.826,16.0004
155.826,15.9582
156.826,15.9156
157.825,15.8745
158.826,15.8312
159.825,15.7887
160.826,15.7463
161.826,15.7058
162.826,15.663
163.825,15.6217
164.826,15.5778
165.826,15.5369
166.825,15.4944
167.826,15.4522
168.826,15.4104
169.826,15.3688
170.826,15.3253
171.826,15.2841
172.825,15.2407
173.825,15.1977
174.825,15.1561
175.825,15.1149
176.826,15.0743
177.826,15.0337
178.826,14.9935
179.826,14.9532
180.826,14.9131
181.826,14.8735
182.826,14.8332
183.826,14.7948
184.826,14.755
185.826,14.7163
186.826,14.6769
187.826,14.6388
188.826,14.6003
189.825,14.5639
190.825,14.526
191.826,14.488
192.826,14.4485
193.826,14.4105
194.826,14.3725
195.825,14.3338
196.825,14.2951
197.825,14.2572
198.825,14.2173
199.825,14.1797
200.825,14.1423
201.826,14.1033
202.825,14.0649
203.825,14.026
204.825,13.9881
205.826,13.9508
206.826,13.9121
207.825,13.8724
208.825,13.835
209.825,13.7971
210.825,13.7592
211.825,13.7214
212.825,13.6845
213.825,13.6487
214.825,13.6117
215.825,13.5755
216.825,13.539
217.826,13.5028
218.825,13.4671
219.825,13.4321
220.825,13.3965
221.826,13.3599
222.826,13.326
223.826,13.2894
224.826,13.2562
225.825,13.2227
226.825,13.1871
227.826,13.1514
228.826,13.1188
229.826,13.083
230.826,13.0486
231.825,13.0153
232.825,12.9803
233.826,12.9451
234.826,12.9101
235.825,12.8769
236.825,12.8415
237.825,12.807
238.826,12.772
239.826,12.7382
240.826,12.7037
241.826,12.6692
242.826,12.6359
243.825,12.6002
244.825,12.5663
245.825,12.5315
246.826,12.497
247.826,12.4641
248.826,12.4288
249.825,12.394
250.825,12.3593
251.826,12.3258
252.826,12.2916
253.826,12.2586
254.826,12.2257
255.826,12.1917
256.826,12.1592
257.826,12.1271
258.826,12.0938
259.826,12.0619
