t (s),V (mV)
0,21.372
0.968,21.3342
1.933,21.3025
2.91,21.2688
3.91,21.2329
4.91,21.1982
5.91,21.1623
6.909,21.1279
7.909,21.0909
8.91,21.0557
9.91,21.0193
10.909,20.9836
11.91,20.9493
12.91,20.9137
13.91,20.8793
14.909,20.8449
15.909,20.8097
16.909,20.775
17.91,20.7423
18.91,20.7068
19.909,20.6727
20.91,20.6394
21.91,20.6055
22.909,20.5716
23.91,20.5381
24.909,20.5032
25.909,20.4702
26.91,20.4384
27.91,20.4048
28.909,20.3717
29.91,20.3384
30.909,20.3047
31.909,20.272
32.909,20.2395
33.91,20.2063
34.909,20.1728
35.909,20.1406
36.91,20.1096
37.91,20.0765
38.909,20.0426
39.909,20.01
40.909,19.9783
41.91,19.9452
42.909,19.913
43.909,19.8817
44.909,19.8504
45.909,19.8186
46.909,19.7869
47.909,19.7543
48.909,19.7232
49.91,19.6927
50.91,19.6624
51.91,19.6314
52.91,19.6007
53.909,19.5698
54.91,19.5393
55.91,19.5083
56.909,19.4782
57.91,19.4492
58.91,19.4184
59.909,19.389
60.909,19.3585
61.91,19.3285
62.909,19.2987
63.909,19.2694
64.91,19.239
65.909,19.2109
66.91,19.1822
67.909,19.1563
68.91,19.1274
69.91,19.1008
70.91,19.0726
71.91,19.0447
72.91,19.0164
73.91,18.9888
74.91,18.9602
75.91,18.9316
76.909,18.9022
77.909,18.8728
78.909,18.8444
79.909,18.8154
80.909,18.7863
81.91,18.7575
82.91,18.7258
83.91,18.6961
84.909,18.6658
85.909,18.6358
86.909,18.6071
87.909,18.58
88.909,18.5516
89.909,18.5243
90.909,18.4958
91.91,18.4694
92.91,18.4418
93.91,18.4141
94.909,18.3874
95.909,18.3596
96.909,18.3339
97.909,18.3075
98.909,18.2811
99.909,18.2544
100.909,18.2283
101.91,18.2001
102.91,18.1744
103.909,18.1479
104.909,18.1204
105.909,18.0929
106.909,18.065
107.909,18.0402
108.909,18.0125
109.909,17.9851
110.91,17.959
111.909,17.9319
112.909,17.9047
113.909,17.877
114.909,17.8509
115.909,17.8235
116.909,17.7957
117.909,17.7685
118.909,17.7367
119.909,17.7113
120.909,17.6813
121.909,17.6608
122.909,17.6368
123.909,17.6107
124.909,17.5857
125.909,17.5594
126.91,17.5343
127.909,17.5069
128.909,17.4819
129.909,17.4567
130.909,17.4302
131.909,17.4075
132.909,17.381
133.909,17.3555
134.909,17.3308
135.909,17.305
136.909,17.2802
137.909,17.2546
138.909,17.2295
139.909,17.2053
140.909,17.18
141.909,17.1548
142.909,17.1292
143.909,17.1052
144.909,17.0807
145.91,17.0553
146.91,17.0313
147.91,17.0065
148.91,16.9821
149.909,16.9578
